Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.16,2011:Q1,2011-05-02,0.0213,17:05,0.536
-0.69,2010:Q4,2011-02-01,-0.6523,18:55,-0.297
-0.33,2010:Q3,2010-10-26,-0.422,16:55,-0.195
-0.02,2010:Q2,2010-07-27,-0.9045,18:35,0.296
0.42,2010:Q1,2010-04-21,0.0257,16:45,0.261
0.28,2009:Q4,2010-02-02,0.2679,19:33,0.277
